CONSTITUENCY,ASSETS,LIABILITIES,NAME,WINNER,GENDER,AGE,VOTES RECEIVED,ELECTION RESULT,HAS CASES
VIZIANAGARAM,13428596,,Mukka Srinivas Rao,0,MALE,39,34192,3,0
WARANGAL,24889712,1428227,DAYAKAR PASUNOORI,1,MALE,51,612498,1,0
WARANGAL,12211566,5552696,DOMMATI SAMBAIAH,0,MALE,56,262200,2,0
WARANGAL,2503100,660000,CHINTHA SAMBAMURTHY,0,MALE,65,83777,3,0
WARDHA,65807822,8961387,Ramdas Chandrabhanji Tadas,1,MALE,65,578364,1,0
WARDHA,136123032,,Charulata Rao Tokas,0,FEMALE,53,391173,2,0
WARDHA,97629000,,Dhanraj Kothiramji Wanjari,0,MALE,63,36452,3,1
WARDHA,135149000,2098380,Agrawal Shaileshkumar Premkishorji,0,MALE,37,36423,4,1
WAYANAD,158877063,7201904,Rahul Gandhi,1,MALE,48,706367,1,1
WAYANAD,13815960,,P.P. Suneer,0,MALE,50,274597,2,0
WAYANAD,,,Thushar Vellappally,0,MALE,50,78816,3,1
WEST DELHI,,,PARVESH SAHIB SINGH VERMA,1,MALE,41,865648,1,0
WEST DELHI,,,MAHABAL MISHRA,0,MALE,64,287162,2,1
WEST DELHI,,,BALBIR SINGH JAKHAR,0,MALE,47,251873,3,0
YAVATMAL-WASHIM,,,Bhavana Pundlikrao Gawali,1,FEMALE,46,542098,1,1
YAVATMAL-WASHIM,,,Thakre Manikrao Govindrao,0,MALE,64,424159,2,0
YAVATMAL-WASHIM,,,Pravin Govind Pawar,0,MALE,37,94228,3,0
ZAHIRABAD,,,B.B.PATIL,1,MALE,63,434244,1,1
ZAHIRABAD,,,MADAN MOHAN RAO,0,MALE,49,428015,2,0
ZAHIRABAD,,,BANALA LAXMA REDDY,0,MALE,47,138947,3,1
